"order";"family";"feature";"data_set";"tolerance";"case_def"
71;"Morphology";"Maximum 3D diameter";"case_3";0.292168691060431;"B"
71;"Morphology";"Maximum 3D diameter";"case_4";0;"B"
71;"Morphology";"Maximum 3D diameter";"case_5";0.292168691060431;"B"
72;"Morphology";"Major axis length";"case_1";0.288701926961508;"B"
72;"Morphology";"Major axis length";"case_2";0.288994411880941;"B"
72;"Morphology";"Major axis length";"case_3";0.402496384447014;"B"
72;"Morphology";"Major axis length";"case_4";0;"B"
72;"Morphology";"Major axis length";"case_5";0.402496384447014;"B"
73;"Morphology";"Minor axis length";"case_1";0.332380579241673;"B"
73;"Morphology";"Minor axis length";"case_2";0.332375940856294;"B"
73;"Morphology";"Minor axis length";"case_3";0.391282386074361;"B"
73;"Morphology";"Minor axis length";"case_4";0;"B"
73;"Morphology";"Minor axis length";"case_5";0.391282386074361;"B"
74;"Morphology";"Least axis length";"case_1";0.157909198094087;"B"
74;"Morphology";"Least axis length";"case_2";0.157953274704519;"B"
74;"Morphology";"Least axis length";"case_3";0.354304721233754;"B"
74;"Morphology";"Least axis length";"case_4";0;"B"
74;"Morphology";"Least axis length";"case_5";0.354304721233754;"B"
75;"Morphology";"Elongation";"case_1";0.000771453917034565;"B"
75;"Morphology";"Elongation";"case_2";0.000771453917034565;"B"
75;"Morphology";"Elongation";"case_3";0.000334141640771979;"B"
75;"Morphology";"Elongation";"case_4";0;"B"
75;"Morphology";"Elongation";"case_5";0.000334141640771979;"B"
76;"Morphology";"Flatness";"case_1";0.00060323833388834;"B"
76;"Morphology";"Flatness";"case_2";0.000600948221314362;"B"
76;"Morphology";"Flatness";"case_3";0.000450603649038278;"B"
76;"Morphology";"Flatness";"case_4";0;"B"
76;"Morphology";"Flatness";"case_5";0.000450603649038278;"B"
77;"Morphology";"Volume density-AABB";"case_1";0.00202032471045368;"B"
77;"Morphology";"Volume density-AABB";"case_2";0.00200854540637305;"B"
77;"Morphology";"Volume density-AABB";"case_3";0.00228170703535876;"B"
77;"Morphology";"Volume density-AABB";"case_4";0;"B"
77;"Morphology";"Volume density-AABB";"case_5";0.00228170703535876;"B"
78;"Morphology";"Area density-AABB";"case_1";0.00232950147270712;"B"
78;"Morphology";"Area density-AABB";"case_2";0.00229997809493373;"B"
78;"Morphology";"Area density-AABB";"case_3";0.0019955467936614;"B"
78;"Morphology";"Area density-AABB";"case_4";0;"B"
78;"Morphology";"Area density-AABB";"case_5";0.0019955467936614;"B"
79;"Morphology";"Volume density-OMBB";"case_1";0.000833560248837875;"B"
79;"Morphology";"Volume density-OMBB";"case_2";0.000833520844455823;"B"
79;"Morphology";"Volume density-OMBB";"case_3";0.000539030834277257;"B"
79;"Morphology";"Volume density-OMBB";"case_4";0;"B"
79;"Morphology";"Volume density-OMBB";"case_5";0.000539030834277257;"B"
80;"Morphology";"Area density-OMBB";"case_1";0.000381354907026615;"B"
80;"Morphology";"Area density-OMBB";"case_2";0.000351830893171312;"B"
80;"Morphology";"Area density-OMBB";"case_3";0.00121491054260948;"B"
80;"Morphology";"Area density-OMBB";"case_4";0;"B"
80;"Morphology";"Area density-OMBB";"case_5";0.00121491054260948;"B"
81;"Morphology";"Volume density-AEE";"case_1";0.000396055578187138;"B"
81;"Morphology";"Volume density-AEE";"case_2";0.00040212069402239;"B"
81;"Morphology";"Volume density-AEE";"case_3";0.000696646073800777;"B"
81;"Morphology";"Volume density-AEE";"case_4";0;"B"
81;"Morphology";"Volume density-AEE";"case_5";0.000696646073800777;"B"
82;"Morphology";"Area density-AEE";"case_1";0.00242152065727642;"B"
82;"Morphology";"Area density-AEE";"case_2";0.00228158681353977;"B"
82;"Morphology";"Area density-AEE";"case_3";0.00381956040741738;"B"
82;"Morphology";"Area density-AEE";"case_4";0;"B"
82;"Morphology";"Area density-AEE";"case_5";0.00381956040741738;"B"
83;"Morphology";"Volume density-MVEE";"case_1";0.000783563079432734;"B"
83;"Morphology";"Volume density-MVEE";"case_2";0.00077478686837377;"B"
83;"Morphology";"Volume density-MVEE";"case_3";0.00214137153646058;"B"
83;"Morphology";"Volume density-MVEE";"case_4";0;"B"
83;"Morphology";"Volume density-MVEE";"case_5";0.00214137153646058;"B"
84;"Morphology";"Area density-MVEE";"case_1";0.000648243512727514;"B"
84;"Morphology";"Area density-MVEE";"case_2";0.000604728933806004;"B"
84;"Morphology";"Area density-MVEE";"case_3";0.00124638621722709;"B"
84;"Morphology";"Area density-MVEE";"case_4";0;"B"
84;"Morphology";"Area density-MVEE";"case_5";0.00124638621722709;"B"
85;"Morphology";"Volume density-convex hull";"case_1";0.000879490178434489;"B"
85;"Morphology";"Volume density-convex hull";"case_2";0.000879583552790625;"B"
85;"Morphology";"Volume density-convex hull";"case_3";0.00127847134978401;"B"
85;"Morphology";"Volume density-convex hull";"case_4";0;"B"
85;"Morphology";"Volume density-convex hull";"case_5";0.00127847134978401;"B"
86;"Morphology";"Area density-convex hull";"case_1";0.000292331226218545;"B"
86;"Morphology";"Area density-convex hull";"case_2";0.000253592304558714;"B"
86;"Morphology";"Area density-convex hull";"case_3";0.00153588487761018;"B"
86;"Morphology";"Area density-convex hull";"case_4";0;"B"
86;"Morphology";"Area density-convex hull";"case_5";0.00153588487761018;"B"
87;"Morphology";"Integrated intensity";"case_1";306630.821551202;"B"
87;"Morphology";"Integrated intensity";"case_2";307057.913149821;"B"
87;"Morphology";"Integrated intensity";"case_3";1277212.86645981;"B"
87;"Morphology";"Integrated intensity";"case_4";0;"B"
87;"Morphology";"Integrated intensity";"case_5";210358.600864967;"B"
88;"Morphology";"Morans I";"case_1";8.49816263457863e-05;"B"
88;"Morphology";"Morans I";"case_2";8.49749972484187e-05;"B"
88;"Morphology";"Morans I";"case_3";0.000139596306890419;"B"
88;"Morphology";"Morans I";"case_4";0;"B"
88;"Morphology";"Morans I";"case_5";0.000197601201466981;"B"
89;"Morphology";"Gearys C";"case_1";0.000419122819893708;"B"
89;"Morphology";"Gearys C";"case_2";0.000432337478932388;"B"
89;"Morphology";"Gearys C";"case_3";0.000679838238749952;"B"
89;"Morphology";"Gearys C";"case_4";0;"B"
89;"Morphology";"Gearys C";"case_5";0.000239812640383213;"B"
90;"Local intensity";"Local intensity peak";"case_1";8.93595885634422;"B"
90;"Local intensity";"Local intensity peak";"case_2";8.71609585285187;"B"
90;"Local intensity";"Local intensity peak";"case_3";7.11605687141418;"B"
90;"Local intensity";"Local intensity peak";"case_4";0;"B"
90;"Local intensity";"Local intensity peak";"case_5";11.1722561359406;"B"
91;"Local intensity";"Global intensity peak";"case_1";3.85197010040283;"B"
91;"Local intensity";"Global intensity peak";"case_2";3.86986255645752;"B"
91;"Local intensity";"Global intensity peak";"case_3";3.8107723236084;"B"
91;"Local intensity";"Global intensity peak";"case_4";0;"B"
91;"Local intensity";"Global intensity peak";"case_5";3.94288597106934;"B"
92;"Statistics";"Mean";"case_1";0.964243596792221;"B"
92;"Statistics";"Mean";"case_2";0.965288218855858;"B"
92;"Statistics";"Mean";"case_3";2.74878039360046;"B"
92;"Statistics";"Mean";"case_4";0;"B"
92;"Statistics";"Mean";"case_5";0.997900176048279;"B"
93;"Statistics";"Variance";"case_1";291.042395019531;"B"
93;"Statistics";"Variance";"case_2";291.238513183594;"B"
93;"Statistics";"Variance";"case_3";1252.83129882812;"B"
93;"Statistics";"Variance";"case_4";0;"B"
93;"Statistics";"Variance";"case_5";312.162210083008;"B"
94;"Statistics";"Skewness";"case_1";0.0363455712795258;"B"
94;"Statistics";"Skewness";"case_2";0.0364816784858704;"B"
94;"Statistics";"Skewness";"case_3";0.0441573798656464;"B"
94;"Statistics";"Skewness";"case_4";0;"B"
94;"Statistics";"Skewness";"case_5";0.0122570842504501;"B"
95;"Statistics";"Kurtosis";"case_1";0.229000182379029;"B"
95;"Statistics";"Kurtosis";"case_2";0.229427666338387;"B"
95;"Statistics";"Kurtosis";"case_3";0.220380512984458;"B"
95;"Statistics";"Kurtosis";"case_4";0;"B"
95;"Statistics";"Kurtosis";"case_5";0.168524910792194;"B"
96;"Statistics";"Median";"case_1";0.2;"B"
96;"Statistics";"Median";"case_2";0.2;"B"
96;"Statistics";"Median";"case_3";0.3;"B"
96;"Statistics";"Median";"case_4";0;"B"
96;"Statistics";"Median";"case_5";0.1;"B"
97;"Statistics";"Minimum";"case_1";0;"B"
97;"Statistics";"Minimum";"case_2";0;"B"
97;"Statistics";"Minimum";"case_3";3.1875;"B"
97;"Statistics";"Minimum";"case_4";0;"B"
97;"Statistics";"Minimum";"case_5";5.15;"B"
98;"Statistics";"Percentile 10";"case_1";7;"B"
98;"Statistics";"Percentile 10";"case_2";7.05;"B"
98;"Statistics";"Percentile 10";"case_3";12.9;"B"
98;"Statistics";"Percentile 10";"case_4";0;"B"
98;"Statistics";"Percentile 10";"case_5";5.80625;"B"
99;"Statistics";"Percentile 90";"case_1";0;"B"
99;"Statistics";"Percentile 90";"case_2";0;"B"
99;"Statistics";"Percentile 90";"case_3";0.1;"B"
99;"Statistics";"Percentile 90";"case_4";0;"B"
99;"Statistics";"Percentile 90";"case_5";0;"B"
100;"Statistics";"Maximum";"case_1";7.8625;"B"
100;"Statistics";"Maximum";"case_2";8.0375;"B"
100;"Statistics";"Maximum";"case_3";10.05;"B"
100;"Statistics";"Maximum";"case_4";0;"B"
100;"Statistics";"Maximum";"case_5";7.575;"B"
101;"Statistics";"Interquartile range";"case_1";0.35;"B"
101;"Statistics";"Interquartile range";"case_2";0.35;"B"
101;"Statistics";"Interquartile range";"case_3";4.65625;"B"
101;"Statistics";"Interquartile range";"case_4";0;"B"
101;"Statistics";"Interquartile range";"case_5";0.3;"B"
102;"Statistics";"Range";"case_1";7.8625;"B"
102;"Statistics";"Range";"case_2";8.0375;"B"
102;"Statistics";"Range";"case_3";13.3125;"B"
102;"Statistics";"Range";"case_4";0;"B"
102;"Statistics";"Range";"case_5";12.725;"B"
103;"Statistics";"Mean absolute deviation";"case_1";1.3169296737637;"B"
103;"Statistics";"Mean absolute deviation";"case_2";1.32051048513814;"B"
103;"Statistics";"Mean absolute deviation";"case_3";3.34052203360347;"B"
103;"Statistics";"Mean absolute deviation";"case_4";0;"B"
103;"Statistics";"Mean absolute deviation";"case_5";1.30599325776116;"B"
104;"Statistics";"Robust mean absolute deviation";"case_1";0.687681237011618;"B"
104;"Statistics";"Robust mean absolute deviation";"case_2";0.69144333176681;"B"
104;"Statistics";"Robust mean absolute deviation";"case_3";3.35671057268606;"B"
104;"Statistics";"Robust mean absolute deviation";"case_4";0;"B"
104;"Statistics";"Robust mean absolute deviation";"case_5";0.376409477778614;"B"
105;"Statistics";"Median absolute deviation";"case_1";0.936407947540283;"B"
105;"Statistics";"Median absolute deviation";"case_2";0.939414930343628;"B"
105;"Statistics";"Median absolute deviation";"case_3";2.64263277053833;"B"
105;"Statistics";"Median absolute deviation";"case_4";0;"B"
105;"Statistics";"Median absolute deviation";"case_5";0.994273042678833;"B"
106;"Statistics";"Coefficient of variation";"case_1";4.87623053968032;"B"
106;"Statistics";"Coefficient of variation";"case_2";4.95330456593525;"B"
106;"Statistics";"Coefficient of variation";"case_3";0.277902488803044;"B"
106;"Statistics";"Coefficient of variation";"case_4";0;"B"
106;"Statistics";"Coefficient of variation";"case_5";0.187515179129832;"B"
107;"Statistics";"Quartile coefficient of dispersion";"case_1";0.0070455735987428;"B"
107;"Statistics";"Quartile coefficient of dispersion";"case_2";0.0070455735987428;"B"
107;"Statistics";"Quartile coefficient of dispersion";"case_3";0.455451907131012;"B"
107;"Statistics";"Quartile coefficient of dispersion";"case_4";0;"B"
107;"Statistics";"Quartile coefficient of dispersion";"case_5";0.00541950113378684;"B"
108;"Statistics";"Energy";"case_1";10473592.2125;"B"
108;"Statistics";"Energy";"case_2";10421400.8125;"B"
108;"Statistics";"Energy";"case_3";106309975.2875;"B"
108;"Statistics";"Energy";"case_4";0;"B"
108;"Statistics";"Energy";"case_5";14182334.9875;"B"
109;"Statistics";"Root mean square";"case_1";1.12699604671439;"B"
109;"Statistics";"Root mean square";"case_2";1.129139768979;"B"
109;"Statistics";"Root mean square";"case_3";3.32873006161766;"B"
109;"Statistics";"Root mean square";"case_4";0;"B"
109;"Statistics";"Root mean square";"case_5";1.43578250572651;"B"
110;"Intensity histogram";"Mean";"case_2";0.233515161289041;"B"
110;"Intensity histogram";"Mean";"case_4";0;"B"
110;"Intensity histogram";"Mean";"case_5";0.166284120532169;"B"
110;"Intensity histogram";"Mean";"case_1";0.0385195430138307;"B"
110;"Intensity histogram";"Mean";"case_3";0.109897007190241;"B"
111;"Intensity histogram";"Variance";"case_2";0.0967279683696225;"B"
111;"Intensity histogram";"Variance";"case_4";0;"B"
111;"Intensity histogram";"Variance";"case_5";0.112963194617806;"B"
111;"Intensity histogram";"Variance";"case_1";0.465384031501034;"B"
111;"Intensity histogram";"Variance";"case_3";2.00498398960937;"B"
112;"Intensity histogram";"Skewness";"case_2";0.0362767714407706;"B"
112;"Intensity histogram";"Skewness";"case_4";0;"B"
112;"Intensity histogram";"Skewness";"case_5";0.0120172252869712;"B"
112;"Intensity histogram";"Skewness";"case_1";0.0358267337389285;"B"
112;"Intensity histogram";"Skewness";"case_3";0.0439875712182616;"B"
113;"Intensity histogram";"Kurtosis";"case_2";0.227527552297667;"B"
113;"Intensity histogram";"Kurtosis";"case_4";0;"B"
113;"Intensity histogram";"Kurtosis";"case_5";0.166251015004001;"B"
113;"Intensity histogram";"Kurtosis";"case_1";0.225691414874673;"B"
113;"Intensity histogram";"Kurtosis";"case_3";0.219621766023685;"B"
114;"Intensity histogram";"Median";"case_2";0.2;"B"
114;"Intensity histogram";"Median";"case_4";0;"B"
114;"Intensity histogram";"Median";"case_5";0.15;"B"
114;"Intensity histogram";"Median";"case_1";0;"B"
114;"Intensity histogram";"Median";"case_3";0;"B"
115;"Intensity histogram";"Minimum";"case_2";0;"B"
115;"Intensity histogram";"Minimum";"case_4";0;"B"
115;"Intensity histogram";"Minimum";"case_5";0;"B"
115;"Intensity histogram";"Minimum";"case_1";0;"B"
115;"Intensity histogram";"Minimum";"case_3";0.15;"B"
116;"Intensity histogram";"Percentile 10";"case_2";0.45;"B"
116;"Intensity histogram";"Percentile 10";"case_4";0;"B"
116;"Intensity histogram";"Percentile 10";"case_5";0.3;"B"
116;"Intensity histogram";"Percentile 10";"case_1";0.3;"B"
116;"Intensity histogram";"Percentile 10";"case_3";0.55;"B"
117;"Intensity histogram";"Percentile 90";"case_2";0.2;"B"
117;"Intensity histogram";"Percentile 90";"case_4";0;"B"
117;"Intensity histogram";"Percentile 90";"case_5";0.2;"B"
117;"Intensity histogram";"Percentile 90";"case_1";0;"B"
117;"Intensity histogram";"Percentile 90";"case_3";0;"B"
118;"Intensity histogram";"Maximum";"case_2";0;"B"
118;"Intensity histogram";"Maximum";"case_4";0;"B"
118;"Intensity histogram";"Maximum";"case_5";0;"B"
118;"Intensity histogram";"Maximum";"case_1";0.3;"B"
118;"Intensity histogram";"Maximum";"case_3";0.4;"B"
119;"Intensity histogram";"Mode";"case_2";0.25;"B"
119;"Intensity histogram";"Mode";"case_4";0;"B"
119;"Intensity histogram";"Mode";"case_5";0.1;"B"
119;"Intensity histogram";"Mode";"case_1";0.05;"B"
119;"Intensity histogram";"Mode";"case_3";0.05;"B"
120;"Intensity histogram";"Interquartile range";"case_2";0;"B"
120;"Intensity histogram";"Interquartile range";"case_4";0;"B"
120;"Intensity histogram";"Interquartile range";"case_5";0.05;"B"
120;"Intensity histogram";"Interquartile range";"case_1";0;"B"
120;"Intensity histogram";"Interquartile range";"case_3";0.2;"B"
121;"Intensity histogram";"Range";"case_2";0;"B"
121;"Intensity histogram";"Range";"case_4";0;"B"
121;"Intensity histogram";"Range";"case_5";0;"B"
121;"Intensity histogram";"Range";"case_1";0.3;"B"
121;"Intensity histogram";"Range";"case_3";0.55;"B"
122;"Intensity histogram";"Mean absolute deviation";"case_2";0.0216470829646421;"B"
122;"Intensity histogram";"Mean absolute deviation";"case_4";0;"B"
122;"Intensity histogram";"Mean absolute deviation";"case_5";0.0142521929821257;"B"
122;"Intensity histogram";"Mean absolute deviation";"case_1";0.0513462960528514;"B"
122;"Intensity histogram";"Mean absolute deviation";"case_3";0.133566428236049;"B"
123;"Intensity histogram";"Robust mean absolute deviation";"case_2";0.0162780287070958;"B"
123;"Intensity histogram";"Robust mean absolute deviation";"case_4";0;"B"
123;"Intensity histogram";"Robust mean absolute deviation";"case_5";0.0082050752095579;"B"
123;"Intensity histogram";"Robust mean absolute deviation";"case_1";0.0286250515179972;"B"
123;"Intensity histogram";"Robust mean absolute deviation";"case_3";0.131741158136966;"B"
124;"Intensity histogram";"Median absolute deviation";"case_2";0.0118173539638519;"B"
124;"Intensity histogram";"Median absolute deviation";"case_4";0;"B"
124;"Intensity histogram";"Median absolute deviation";"case_5";0.00652611255645752;"B"
124;"Intensity histogram";"Median absolute deviation";"case_1";0.0363977819681168;"B"
124;"Intensity histogram";"Median absolute deviation";"case_3";0.105636420845985;"B"
125;"Intensity histogram";"Coefficient of variation";"case_2";0.00271387859197549;"B"
125;"Intensity histogram";"Coefficient of variation";"case_4";0;"B"
125;"Intensity histogram";"Coefficient of variation";"case_5";0.00252342954613609;"B"
125;"Intensity histogram";"Coefficient of variation";"case_1";0.00275186268714331;"B"
125;"Intensity histogram";"Coefficient of variation";"case_3";0.00359004033859253;"B"
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_2";0.000416666666666667;"B"
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_4";0;"B"
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_5";0.000710594315245478;"B"
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_1";0;"B"
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_3";0.00255952380952381;"B"
127;"Intensity histogram";"Entropy";"case_2";0.00426744788376794;"B"
127;"Intensity histogram";"Entropy";"case_4";0;"B"
127;"Intensity histogram";"Entropy";"case_5";0.00876411727185715;"B"
127;"Intensity histogram";"Entropy";"case_1";0.016910121771618;"B"
127;"Intensity histogram";"Entropy";"case_3";0.0269682752762356;"B"
128;"Intensity histogram";"Uniformity";"case_2";0.00042172907017422;"B"
128;"Intensity histogram";"Uniformity";"case_4";0;"B"
128;"Intensity histogram";"Uniformity";"case_5";0.00146747663254957;"B"
128;"Intensity histogram";"Uniformity";"case_1";0.0014543209405324;"B"
128;"Intensity histogram";"Uniformity";"case_3";0.00200084458775469;"B"
129;"Intensity histogram";"Maximum gradient";"case_2";40.775;"B"
129;"Intensity histogram";"Maximum gradient";"case_4";0;"B"
129;"Intensity histogram";"Maximum gradient";"case_5";99.3;"B"
129;"Intensity histogram";"Maximum gradient";"case_1";3.7375;"B"
129;"Intensity histogram";"Maximum gradient";"case_3";18.4125;"B"
130;"Intensity histogram";"Maximum gradient grey level";"case_2";0.2;"B"
130;"Intensity histogram";"Maximum gradient grey level";"case_4";0;"B"
130;"Intensity histogram";"Maximum gradient grey level";"case_5";0.1;"B"
130;"Intensity histogram";"Maximum gradient grey level";"case_1";0;"B"
130;"Intensity histogram";"Maximum gradient grey level";"case_3";0;"B"
131;"Intensity histogram";"Minimum gradient";"case_2";38.1125;"B"
131;"Intensity histogram";"Minimum gradient";"case_4";0;"B"
131;"Intensity histogram";"Minimum gradient";"case_5";111.56875;"B"
131;"Intensity histogram";"Minimum gradient";"case_1";6.0875;"B"
131;"Intensity histogram";"Minimum gradient";"case_3";45.94375;"B"
132;"Intensity histogram";"Minimum gradient grey level";"case_2";0.2;"B"
132;"Intensity histogram";"Minimum gradient grey level";"case_4";0;"B"
132;"Intensity histogram";"Minimum gradient grey level";"case_5";0.2;"B"
132;"Intensity histogram";"Minimum gradient grey level";"case_1";0;"B"
132;"Intensity histogram";"Minimum gradient grey level";"case_3";0;"B"
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_1";0.000566892222453758;"B"
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_2";0.000558846904031191;"B"
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_3";0.000172055179815162;"B"
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_4";0;"B"
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_5";0.000724768512861868;"B"
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_1";1.0191775669767e-05;"B"
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_2";1.01871899813769e-05;"B"
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_3";1.8956453824355e-05;"B"
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_4";0;"B"
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_5";7.06757063291527e-05;"B"
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_1";0;"B"
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_2";0;"B"
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_3";0;"B"
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_4";0;"B"
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_5";5.7125;"B"
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_1";7;"B"
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_2";7.05;"B"
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_3";12.875;"B"
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_4";0;"B"
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_5";9.8625;"B"
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_1";0.000577646248549885;"B"
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_2";0.000571891935185376;"B"
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_3";0.000195000322956479;"B"
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_4";0;"B"
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_5";0.000626421475519234;"B"
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_1";7.05;"B"
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_2";7.05;"B"
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_3";12.875;"B"
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_4";0;"B"
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_5";4.25;"B"
139;"Intensity volume histogram";"Area under the IVH curve";"case_1";0.00107138179740719;"B"
139;"Intensity volume histogram";"Area under the IVH curve";"case_2";0.00107254248897669;"B"
139;"Intensity volume histogram";"Area under the IVH curve";"case_3";0.00196693815453636;"B"
139;"Intensity volume histogram";"Area under the IVH curve";"case_4";0;"B"
139;"Intensity volume histogram";"Area under the IVH curve";"case_5";0.00520730288139814;"B"
140;"Co-occurrence 2D-avg";"Joint maximum";"case_2";0.0012604041173667;"B"
140;"Co-occurrence 2D-avg";"Joint maximum";"case_4";0;"B"
140;"Co-occurrence 2D-avg";"Joint maximum";"case_5";0.00239425229814347;"B"
140;"Co-occurrence 2D-avg";"Joint maximum";"case_1";0.000825233590938455;"B"
140;"Co-occurrence 2D-avg";"Joint maximum";"case_3";0.0008477336253426;"B"
141;"Co-occurrence 2D-avg";"Joint average";"case_2";0.224384692044695;"B"
141;"Co-occurrence 2D-avg";"Joint average";"case_4";0;"B"
141;"Co-occurrence 2D-avg";"Joint average";"case_5";0.172640326991108;"B"
141;"Co-occurrence 2D-avg";"Joint average";"case_1";0.0291773192953634;"B"
141;"Co-occurrence 2D-avg";"Joint average";"case_3";0.0958707004416425;"B"
142;"Co-occurrence 2D-avg";"Joint variance";"case_2";0.238399897938216;"B"
142;"Co-occurrence 2D-avg";"Joint variance";"case_4";0;"B"
142;"Co-occurrence 2D-avg";"Joint variance";"case_5";0.0786755334721651;"B"
142;"Co-occurrence 2D-avg";"Joint variance";"case_1";0.275872811592;"B"
142;"Co-occurrence 2D-avg";"Joint variance";"case_3";1.40820913056945;"B"
143;"Co-occurrence 2D-avg";"Joint entropy";"case_2";0.00943233377844734;"B"
143;"Co-occurrence 2D-avg";"Joint entropy";"case_4";0;"B"
143;"Co-occurrence 2D-avg";"Joint entropy";"case_5";0.0156067237122734;"B"
143;"Co-occurrence 2D-avg";"Joint entropy";"case_1";0.0289728877451459;"B"
143;"Co-occurrence 2D-avg";"Joint entropy";"case_3";0.0404280374151354;"B"
144;"Co-occurrence 2D-avg";"Difference average";"case_2";0.00523216235077028;"B"
144;"Co-occurrence 2D-avg";"Difference average";"case_4";0;"B"
144;"Co-occurrence 2D-avg";"Difference average";"case_5";0.00901310132068358;"B"
144;"Co-occurrence 2D-avg";"Difference average";"case_1";0.0223706243753251;"B"
144;"Co-occurrence 2D-avg";"Difference average";"case_3";0.0345165204317208;"B"
145;"Co-occurrence 2D-avg";"Difference variance";"case_2";0.036985067676694;"B"
145;"Co-occurrence 2D-avg";"Difference variance";"case_4";0;"B"
145;"Co-occurrence 2D-avg";"Difference variance";"case_5";0.042689231001236;"B"
145;"Co-occurrence 2D-avg";"Difference variance";"case_1";0.182368881386799;"B"
145;"Co-occurrence 2D-avg";"Difference variance";"case_3";0.366797163021545;"B"
146;"Co-occurrence 2D-avg";"Difference entropy";"case_2";0.00646923282507712;"B"
146;"Co-occurrence 2D-avg";"Difference entropy";"case_4";0;"B"
146;"Co-occurrence 2D-avg";"Difference entropy";"case_5";0.00411547702175805;"B"
146;"Co-occurrence 2D-avg";"Difference entropy";"case_1";0.0161967224692173;"B"
146;"Co-occurrence 2D-avg";"Difference entropy";"case_3";0.021091269304568;"B"
147;"Co-occurrence 2D-avg";"Sum average";"case_2";0.448769384089391;"B"
147;"Co-occurrence 2D-avg";"Sum average";"case_4";0;"B"
147;"Co-occurrence 2D-avg";"Sum average";"case_5";0.345280653982216;"B"
147;"Co-occurrence 2D-avg";"Sum average";"case_1";0.0583546385907262;"B"
147;"Co-occurrence 2D-avg";"Sum average";"case_3";0.191741400883284;"B"
148;"Co-occurrence 2D-avg";"Sum variance";"case_2";0.921118905946916;"B"
148;"Co-occurrence 2D-avg";"Sum variance";"case_4";0;"B"
148;"Co-occurrence 2D-avg";"Sum variance";"case_5";0.279317815036762;"B"
148;"Co-occurrence 2D-avg";"Sum variance";"case_1";0.852346160633675;"B"
148;"Co-occurrence 2D-avg";"Sum variance";"case_3";5.14065293977607;"B"
149;"Co-occurrence 2D-avg";"Sum entropy";"case_2";0.0056249403912277;"B"
149;"Co-occurrence 2D-avg";"Sum entropy";"case_4";0;"B"
149;"Co-occurrence 2D-avg";"Sum entropy";"case_5";0.00652510473902472;"B"
149;"Co-occurrence 2D-avg";"Sum entropy";"case_1";0.0183278202050694;"B"
149;"Co-occurrence 2D-avg";"Sum entropy";"case_3";0.0268802816857089;"B"
150;"Co-occurrence 2D-avg";"Angular second moment";"case_2";0.000448464337311658;"B"
150;"Co-occurrence 2D-avg";"Angular second moment";"case_4";0;"B"
150;"Co-occurrence 2D-avg";"Angular second moment";"case_5";0.000968510713977018;"B"
150;"Co-occurrence 2D-avg";"Angular second moment";"case_1";0.000698685035918464;"B"
150;"Co-occurrence 2D-avg";"Angular second moment";"case_3";0.000830290247259455;"B"
151;"Co-occurrence 2D-avg";"Contrast";"case_2";0.0580767693332043;"B"
151;"Co-occurrence 2D-avg";"Contrast";"case_4";0;"B"
151;"Co-occurrence 2D-avg";"Contrast";"case_5";0.0918660523259044;"B"
151;"Co-occurrence 2D-avg";"Contrast";"case_1";0.255490573216472;"B"
151;"Co-occurrence 2D-avg";"Contrast";"case_3";0.496751915403999;"B"
