"order";"family";"feature";"data_set";"tolerance";"case_def"
16;"Diagnostics-interpolated image";"Mean intensity";"case_4";0;"B"
16;"Diagnostics-interpolated image";"Mean intensity";"case_5";1.97231178283691;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_1";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_2";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_3";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_4";0;"B"
17;"Diagnostics-interpolated image";"Minimum intensity";"case_5";1.0625;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_1";25.975;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_2";22.375;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_3";20.1;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_4";0;"B"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_5";24.275;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_1";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_2";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_3";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_4";0;"B"
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_5";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_1";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_2";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_3";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_4";0;"B"
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_5";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_1";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_2";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_3";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_4";0;"B"
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_5";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_1";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_2";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_3";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_4";0;"B"
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_5";0;"B"
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_1";0;"B"
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_2";0;"B"
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_3";0;"B"
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_4";0;"B"
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_5";0;"B"
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_1";0;"B"
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_2";0;"B"
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_3";0;"B"
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_4";0;"B"
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_5";0;"B"
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_1";0;"B"
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_2";0;"B"
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_3";0;"B"
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_4";0;"B"
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_5";0;"B"
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_1";0;"B"
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_2";0;"B"
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_3";0;"B"
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_4";0;"B"
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_5";0;"B"
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_1";0;"B"
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_2";0;"B"
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_3";0;"B"
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_4";0;"B"
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_5";0;"B"
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_1";0;"B"
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_2";0;"B"
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_3";0;"B"
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_4";0;"B"
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_5";0;"B"
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_1";0;"B"
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_2";0;"B"
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_3";0;"B"
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_4";0;"B"
