"order";"family";"feature";"data_set";"tolerance"
80;"Morphology";"Area density-OMBB";"case_1";0.000381354907026615
80;"Morphology";"Area density-OMBB";"case_2";0.000351830893171312
80;"Morphology";"Area density-OMBB";"case_3";0.00121491054260948
80;"Morphology";"Area density-OMBB";"case_4";0.00121491054260948
80;"Morphology";"Area density-OMBB";"case_5";0.00121491054260948
81;"Morphology";"Volume density-AEE";"case_1";0.000396055578187138
81;"Morphology";"Volume density-AEE";"case_2";0.00040212069402239
81;"Morphology";"Volume density-AEE";"case_3";0.000696646073800777
81;"Morphology";"Volume density-AEE";"case_4";0.000696646073800777
81;"Morphology";"Volume density-AEE";"case_5";0.000696646073800777
82;"Morphology";"Area density-AEE";"case_1";0.00242152065727642
82;"Morphology";"Area density-AEE";"case_2";0.00228158681353977
82;"Morphology";"Area density-AEE";"case_3";0.00381956040741738
82;"Morphology";"Area density-AEE";"case_4";0.00381956040741738
82;"Morphology";"Area density-AEE";"case_5";0.00381956040741738
83;"Morphology";"Volume density-MVEE";"case_1";0.000783563079432734
83;"Morphology";"Volume density-MVEE";"case_2";0.00077478686837377
83;"Morphology";"Volume density-MVEE";"case_3";0.00214137153646058
83;"Morphology";"Volume density-MVEE";"case_4";0.00214137153646058
83;"Morphology";"Volume density-MVEE";"case_5";0.00214137153646058
84;"Morphology";"Area density-MVEE";"case_1";0.000648243512727514
84;"Morphology";"Area density-MVEE";"case_2";0.000604728933806004
84;"Morphology";"Area density-MVEE";"case_3";0.00124638621722709
84;"Morphology";"Area density-MVEE";"case_4";0.00124638621722709
84;"Morphology";"Area density-MVEE";"case_5";0.00124638621722709
85;"Morphology";"Volume density-convex hull";"case_1";0.000879490178434489
85;"Morphology";"Volume density-convex hull";"case_2";0.000879583552790625
85;"Morphology";"Volume density-convex hull";"case_3";0.00127847134978401
85;"Morphology";"Volume density-convex hull";"case_4";0.00127847134978401
85;"Morphology";"Volume density-convex hull";"case_5";0.00127847134978401
86;"Morphology";"Area density-convex hull";"case_1";0.000292331226218545
86;"Morphology";"Area density-convex hull";"case_2";0.000253592304558714
86;"Morphology";"Area density-convex hull";"case_3";0.00153588487761018
86;"Morphology";"Area density-convex hull";"case_4";0.00153588487761018
86;"Morphology";"Area density-convex hull";"case_5";0.00153588487761018
87;"Morphology";"Integrated intensity";"case_1";306630.821551202
87;"Morphology";"Integrated intensity";"case_2";307057.913149821
87;"Morphology";"Integrated intensity";"case_3";1277212.86645981
87;"Morphology";"Integrated intensity";"case_4";1553103.25411126
87;"Morphology";"Integrated intensity";"case_5";210358.600864967
88;"Morphology";"Morans I";"case_1";9.53141079501065e-05
88;"Morphology";"Morans I";"case_2";0.000102523552334173
88;"Morphology";"Morans I";"case_3";0.000131878295285897
88;"Morphology";"Morans I";"case_4";0.0012017936977854
88;"Morphology";"Morans I";"case_5";0.00018438093145649
89;"Morphology";"Gearys C";"case_1";0.000452563512970539
89;"Morphology";"Gearys C";"case_2";0.000440473493712723
89;"Morphology";"Gearys C";"case_3";0.000665074167714352
89;"Morphology";"Gearys C";"case_4";0.000210852564248765
89;"Morphology";"Gearys C";"case_5";0.000274600982241213
90;"Local intensity";"Local intensity peak";"case_1";8.93595885634422
90;"Local intensity";"Local intensity peak";"case_2";8.71609585285187
90;"Local intensity";"Local intensity peak";"case_3";7.11605687141418
90;"Local intensity";"Local intensity peak";"case_4";6.38252038955688
90;"Local intensity";"Local intensity peak";"case_5";11.1722561359406
91;"Local intensity";"Global intensity peak";"case_1";3.85197010040283
91;"Local intensity";"Global intensity peak";"case_2";3.86986255645752
91;"Local intensity";"Global intensity peak";"case_3";3.8107723236084
91;"Local intensity";"Global intensity peak";"case_4";3.8107723236084
91;"Local intensity";"Global intensity peak";"case_5";3.94288597106934
92;"Statistics";"Mean";"case_1";0.964243596792221
92;"Statistics";"Mean";"case_2";0.965288218855858
92;"Statistics";"Mean";"case_3";2.74878039360046
92;"Statistics";"Mean";"case_4";3.79409214258194
92;"Statistics";"Mean";"case_5";0.997900176048279
93;"Statistics";"Variance";"case_1";291.042395019531
93;"Statistics";"Variance";"case_2";291.238513183594
93;"Statistics";"Variance";"case_3";1252.83129882812
93;"Statistics";"Variance";"case_4";1980.40720214844
93;"Statistics";"Variance";"case_5";312.162210083008
94;"Statistics";"Skewness";"case_1";0.0363455712795258
94;"Statistics";"Skewness";"case_2";0.0364816784858704
94;"Statistics";"Skewness";"case_3";0.0441573798656464
94;"Statistics";"Skewness";"case_4";0.0539990812540054
94;"Statistics";"Skewness";"case_5";0.0122570842504501
95;"Statistics";"Kurtosis";"case_1";0.229000182379029
95;"Statistics";"Kurtosis";"case_2";0.229427666338387
95;"Statistics";"Kurtosis";"case_3";0.220380512984458
95;"Statistics";"Kurtosis";"case_4";0.303634318598667
95;"Statistics";"Kurtosis";"case_5";0.168524910792194
96;"Statistics";"Median";"case_1";0.2
96;"Statistics";"Median";"case_2";0.2
96;"Statistics";"Median";"case_3";0.3
96;"Statistics";"Median";"case_4";0.35
96;"Statistics";"Median";"case_5";0.1
97;"Statistics";"Minimum";"case_1";0
97;"Statistics";"Minimum";"case_2";0
97;"Statistics";"Minimum";"case_3";3.1875
97;"Statistics";"Minimum";"case_4";11.2
97;"Statistics";"Minimum";"case_5";5.15
98;"Statistics";"Percentile 10";"case_1";7
98;"Statistics";"Percentile 10";"case_2";7.05
98;"Statistics";"Percentile 10";"case_3";12.9
98;"Statistics";"Percentile 10";"case_4";18.6
98;"Statistics";"Percentile 10";"case_5";5.80625
99;"Statistics";"Percentile 90";"case_1";0
99;"Statistics";"Percentile 90";"case_2";0
99;"Statistics";"Percentile 90";"case_3";0.1
99;"Statistics";"Percentile 90";"case_4";0.05
99;"Statistics";"Percentile 90";"case_5";0
100;"Statistics";"Maximum";"case_1";7.8625
100;"Statistics";"Maximum";"case_2";8.0375
100;"Statistics";"Maximum";"case_3";10.05
100;"Statistics";"Maximum";"case_4";20.375
100;"Statistics";"Maximum";"case_5";7.575
101;"Statistics";"Interquartile range";"case_1";0.35
101;"Statistics";"Interquartile range";"case_2";0.35
101;"Statistics";"Interquartile range";"case_3";4.65625
101;"Statistics";"Interquartile range";"case_4";3.9
101;"Statistics";"Interquartile range";"case_5";0.3
102;"Statistics";"Range";"case_1";7.8625
102;"Statistics";"Range";"case_2";8.0375
102;"Statistics";"Range";"case_3";13.3125
102;"Statistics";"Range";"case_4";31.4625
102;"Statistics";"Range";"case_5";12.725
103;"Statistics";"Mean absolute deviation";"case_1";1.3169296737637
103;"Statistics";"Mean absolute deviation";"case_2";1.32051048513814
103;"Statistics";"Mean absolute deviation";"case_3";3.34052203360347
103;"Statistics";"Mean absolute deviation";"case_4";5.06501146233807
103;"Statistics";"Mean absolute deviation";"case_5";1.30599325776116
104;"Statistics";"Robust mean absolute deviation";"case_1";0.687681237011618
104;"Statistics";"Robust mean absolute deviation";"case_2";0.69144333176681
104;"Statistics";"Robust mean absolute deviation";"case_3";3.35671057268606
104;"Statistics";"Robust mean absolute deviation";"case_4";3.49788650146596
104;"Statistics";"Robust mean absolute deviation";"case_5";0.376409477778614
105;"Statistics";"Median absolute deviation";"case_1";0.936407947540283
105;"Statistics";"Median absolute deviation";"case_2";0.939414930343628
105;"Statistics";"Median absolute deviation";"case_3";2.64263277053833
105;"Statistics";"Median absolute deviation";"case_4";3.6658139705658
105;"Statistics";"Median absolute deviation";"case_5";0.994273042678833
106;"Statistics";"Coefficient of variation";"case_1";4.87623053968032
106;"Statistics";"Coefficient of variation";"case_2";4.95330456593525
106;"Statistics";"Coefficient of variation";"case_3";0.277902488803044
106;"Statistics";"Coefficient of variation";"case_4";1.13642779981427
106;"Statistics";"Coefficient of variation";"case_5";0.187515179129832
107;"Statistics";"Quartile coefficient of dispersion";"case_1";0.0070455735987428
107;"Statistics";"Quartile coefficient of dispersion";"case_2";0.0070455735987428
107;"Statistics";"Quartile coefficient of dispersion";"case_3";0.455451907131012
107;"Statistics";"Quartile coefficient of dispersion";"case_4";1.52359550561798
107;"Statistics";"Quartile coefficient of dispersion";"case_5";0.00541950113378684
108;"Statistics";"Energy";"case_1";10473592.2125
108;"Statistics";"Energy";"case_2";10421400.8125
108;"Statistics";"Energy";"case_3";106309975.2875
108;"Statistics";"Energy";"case_4";127109318.775
108;"Statistics";"Energy";"case_5";14182334.9875
109;"Statistics";"Root mean square";"case_1";1.12699604671439
109;"Statistics";"Root mean square";"case_2";1.129139768979
109;"Statistics";"Root mean square";"case_3";3.32873006161766
109;"Statistics";"Root mean square";"case_4";5.8478846353172
109;"Statistics";"Root mean square";"case_5";1.43578250572651
110;"Intensity histogram";"Mean";"case_2";0.233515161289041
110;"Intensity histogram";"Mean";"case_4";0.377343861197347
110;"Intensity histogram";"Mean";"case_5";0.166284120532169
110;"Intensity histogram";"Mean";"case_1";0.0385195430138307
110;"Intensity histogram";"Mean";"case_3";0.109897007190241
111;"Intensity histogram";"Variance";"case_2";0.0967279683696225
111;"Intensity histogram";"Variance";"case_4";0.294383139565887
111;"Intensity histogram";"Variance";"case_5";0.112963194617806
111;"Intensity histogram";"Variance";"case_1";0.465384031501034
111;"Intensity histogram";"Variance";"case_3";2.00498398960937
112;"Intensity histogram";"Skewness";"case_2";0.0362767714407706
112;"Intensity histogram";"Skewness";"case_4";0.0537792129093014
112;"Intensity histogram";"Skewness";"case_5";0.0120172252869712
112;"Intensity histogram";"Skewness";"case_1";0.0358267337389285
112;"Intensity histogram";"Skewness";"case_3";0.0439875712182616
113;"Intensity histogram";"Kurtosis";"case_2";0.227527552297667
113;"Intensity histogram";"Kurtosis";"case_4";0.301489577504669
113;"Intensity histogram";"Kurtosis";"case_5";0.166251015004001
113;"Intensity histogram";"Kurtosis";"case_1";0.225691414874673
113;"Intensity histogram";"Kurtosis";"case_3";0.219621766023685
114;"Intensity histogram";"Median";"case_2";0.2
114;"Intensity histogram";"Median";"case_4";0.35
114;"Intensity histogram";"Median";"case_5";0.15
114;"Intensity histogram";"Median";"case_1";0
114;"Intensity histogram";"Median";"case_3";0
115;"Intensity histogram";"Minimum";"case_2";0
115;"Intensity histogram";"Minimum";"case_4";0
115;"Intensity histogram";"Minimum";"case_5";0
115;"Intensity histogram";"Minimum";"case_1";0
115;"Intensity histogram";"Minimum";"case_3";0.15
116;"Intensity histogram";"Percentile 10";"case_2";0.45
116;"Intensity histogram";"Percentile 10";"case_4";0.6
116;"Intensity histogram";"Percentile 10";"case_5";0.3
116;"Intensity histogram";"Percentile 10";"case_1";0.3
116;"Intensity histogram";"Percentile 10";"case_3";0.55
117;"Intensity histogram";"Percentile 90";"case_2";0.2
117;"Intensity histogram";"Percentile 90";"case_4";0.4
117;"Intensity histogram";"Percentile 90";"case_5";0.2
117;"Intensity histogram";"Percentile 90";"case_1";0
117;"Intensity histogram";"Percentile 90";"case_3";0
118;"Intensity histogram";"Maximum";"case_2";0
118;"Intensity histogram";"Maximum";"case_4";0
118;"Intensity histogram";"Maximum";"case_5";0
118;"Intensity histogram";"Maximum";"case_1";0.3
118;"Intensity histogram";"Maximum";"case_3";0.4
119;"Intensity histogram";"Mode";"case_2";0.25
119;"Intensity histogram";"Mode";"case_4";0.35
119;"Intensity histogram";"Mode";"case_5";0.1
119;"Intensity histogram";"Mode";"case_1";0.05
119;"Intensity histogram";"Mode";"case_3";0.05
120;"Intensity histogram";"Interquartile range";"case_2";0
120;"Intensity histogram";"Interquartile range";"case_4";0.05
120;"Intensity histogram";"Interquartile range";"case_5";0.05
120;"Intensity histogram";"Interquartile range";"case_1";0
120;"Intensity histogram";"Interquartile range";"case_3";0.2
121;"Intensity histogram";"Range";"case_2";0
121;"Intensity histogram";"Range";"case_4";0
121;"Intensity histogram";"Range";"case_5";0
121;"Intensity histogram";"Range";"case_1";0.3
121;"Intensity histogram";"Range";"case_3";0.55
122;"Intensity histogram";"Mean absolute deviation";"case_2";0.0216470829646421
122;"Intensity histogram";"Mean absolute deviation";"case_4";0.0416301314406438
122;"Intensity histogram";"Mean absolute deviation";"case_5";0.0142521929821257
122;"Intensity histogram";"Mean absolute deviation";"case_1";0.0513462960528514
122;"Intensity histogram";"Mean absolute deviation";"case_3";0.133566428236049
123;"Intensity histogram";"Robust mean absolute deviation";"case_2";0.0162780287070958
123;"Intensity histogram";"Robust mean absolute deviation";"case_4";0.0499356077104105
123;"Intensity histogram";"Robust mean absolute deviation";"case_5";0.0082050752095579
123;"Intensity histogram";"Robust mean absolute deviation";"case_1";0.0286250515179972
123;"Intensity histogram";"Robust mean absolute deviation";"case_3";0.131741158136966
124;"Intensity histogram";"Median absolute deviation";"case_2";0.0118173539638519
124;"Intensity histogram";"Median absolute deviation";"case_4";0.0294793844223022
124;"Intensity histogram";"Median absolute deviation";"case_5";0.00652611255645752
124;"Intensity histogram";"Median absolute deviation";"case_1";0.0363977819681168
124;"Intensity histogram";"Median absolute deviation";"case_3";0.105636420845985
125;"Intensity histogram";"Coefficient of variation";"case_2";0.00271387859197549
125;"Intensity histogram";"Coefficient of variation";"case_4";0.00477328841858789
125;"Intensity histogram";"Coefficient of variation";"case_5";0.00252342954613609
125;"Intensity histogram";"Coefficient of variation";"case_1";0.00275186268714331
125;"Intensity histogram";"Coefficient of variation";"case_3";0.00359004033859253
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_2";0.000416666666666667
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_4";0.00199430199430199
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_5";0.000710594315245478
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_1";0
126;"Intensity histogram";"Quartile coefficient of dispersion";"case_3";0.00255952380952381
127;"Intensity histogram";"Entropy";"case_2";0.00426744788376794
127;"Intensity histogram";"Entropy";"case_4";0.010558365160055
127;"Intensity histogram";"Entropy";"case_5";0.00876411727185715
127;"Intensity histogram";"Entropy";"case_1";0.016910121771618
127;"Intensity histogram";"Entropy";"case_3";0.0269682752762356
128;"Intensity histogram";"Uniformity";"case_2";0.00042172907017422
128;"Intensity histogram";"Uniformity";"case_4";0.00219983399394974
128;"Intensity histogram";"Uniformity";"case_5";0.00146747663254957
128;"Intensity histogram";"Uniformity";"case_1";0.0014543209405324
128;"Intensity histogram";"Uniformity";"case_3";0.00200084458775469
129;"Intensity histogram";"Maximum gradient";"case_2";40.775
129;"Intensity histogram";"Maximum gradient";"case_4";198.4625
129;"Intensity histogram";"Maximum gradient";"case_5";99.3
129;"Intensity histogram";"Maximum gradient";"case_1";3.7375
129;"Intensity histogram";"Maximum gradient";"case_3";18.4125
130;"Intensity histogram";"Maximum gradient grey level";"case_2";0.2
130;"Intensity histogram";"Maximum gradient grey level";"case_4";0.3
130;"Intensity histogram";"Maximum gradient grey level";"case_5";0.1
130;"Intensity histogram";"Maximum gradient grey level";"case_1";0
130;"Intensity histogram";"Maximum gradient grey level";"case_3";0
131;"Intensity histogram";"Minimum gradient";"case_2";38.1125
131;"Intensity histogram";"Minimum gradient";"case_4";231.225
131;"Intensity histogram";"Minimum gradient";"case_5";111.56875
131;"Intensity histogram";"Minimum gradient";"case_1";6.0875
131;"Intensity histogram";"Minimum gradient";"case_3";45.94375
132;"Intensity histogram";"Minimum gradient grey level";"case_2";0.2
132;"Intensity histogram";"Minimum gradient grey level";"case_4";0.35
132;"Intensity histogram";"Minimum gradient grey level";"case_5";0.2
132;"Intensity histogram";"Minimum gradient grey level";"case_1";0
132;"Intensity histogram";"Minimum gradient grey level";"case_3";0
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_1";0.000566892222453758
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_2";0.000558846904031191
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_3";0.000172055179815162
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_4";0.0016004551871878
133;"Intensity volume histogram";"Volume fraction at 0.10 intensity";"case_5";0.000724768512861868
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_1";1.0191775669767e-05
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_2";1.01871899813769e-05
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_3";1.8956453824355e-05
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_4";0.000891721038496823
134;"Intensity volume histogram";"Volume fraction at 0.90 intensity";"case_5";7.06757063291527e-05
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_1";0
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_2";0
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_3";0
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_4";0.05
135;"Intensity volume histogram";"Intensity at 0.10 volume";"case_5";5.7125
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_1";7
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_2";7.05
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_3";12.875
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_4";18.6
136;"Intensity volume histogram";"Intensity at 0.90 volume";"case_5";9.8625
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_1";0.000577646248549885
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_2";0.000571891935185376
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_3";0.000195000322956479
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_4";0.000885466590998041
137;"Intensity volume histogram";"Difference volume fraction at 0.10 and 0.90 intensity";"case_5";0.000626421475519234
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_1";7.05
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_2";7.05
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_3";12.875
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_4";18.55
138;"Intensity volume histogram";"Difference intensity at 0.10 and 0.90 volume";"case_5";4.25
139;"Intensity volume histogram";"Area under the IVH curve";"case_1";0.00107138179740719
139;"Intensity volume histogram";"Area under the IVH curve";"case_2";0.00107254248897669
139;"Intensity volume histogram";"Area under the IVH curve";"case_3";0.00196693815453636
139;"Intensity volume histogram";"Area under the IVH curve";"case_4";0.0118205763207202
139;"Intensity volume histogram";"Area under the IVH curve";"case_5";0.00520730288139814
140;"Co-occurrence 2D-avg";"Joint maximum";"case_2";0.0012604041173667
140;"Co-occurrence 2D-avg";"Joint maximum";"case_4";0.00464829769478019
140;"Co-occurrence 2D-avg";"Joint maximum";"case_5";0.00239425229814347
140;"Co-occurrence 2D-avg";"Joint maximum";"case_1";0.000825233590938455
140;"Co-occurrence 2D-avg";"Joint maximum";"case_3";0.0008477336253426
141;"Co-occurrence 2D-avg";"Joint average";"case_2";0.224384692044695
141;"Co-occurrence 2D-avg";"Joint average";"case_4";0.371535492315996
141;"Co-occurrence 2D-avg";"Joint average";"case_5";0.172640326991108
141;"Co-occurrence 2D-avg";"Joint average";"case_1";0.0291773192953634
141;"Co-occurrence 2D-avg";"Joint average";"case_3";0.0958707004416425
142;"Co-occurrence 2D-avg";"Joint variance";"case_2";0.238399897938216
142;"Co-occurrence 2D-avg";"Joint variance";"case_4";0.576537990605178
142;"Co-occurrence 2D-avg";"Joint variance";"case_5";0.0786755334721651
142;"Co-occurrence 2D-avg";"Joint variance";"case_1";0.275872811592
142;"Co-occurrence 2D-avg";"Joint variance";"case_3";1.40820913056945
143;"Co-occurrence 2D-avg";"Joint entropy";"case_2";0.00943233377844734
143;"Co-occurrence 2D-avg";"Joint entropy";"case_4";0.017813496174327
143;"Co-occurrence 2D-avg";"Joint entropy";"case_5";0.0156067237122734
143;"Co-occurrence 2D-avg";"Joint entropy";"case_1";0.0289728877451459
143;"Co-occurrence 2D-avg";"Joint entropy";"case_3";0.0404280374151354
144;"Co-occurrence 2D-avg";"Difference average";"case_2";0.00523216235077028
144;"Co-occurrence 2D-avg";"Difference average";"case_4";0.0166306567818414
144;"Co-occurrence 2D-avg";"Difference average";"case_5";0.00901310132068358
144;"Co-occurrence 2D-avg";"Difference average";"case_1";0.0223706243753251
144;"Co-occurrence 2D-avg";"Difference average";"case_3";0.0345165204317208
145;"Co-occurrence 2D-avg";"Difference variance";"case_2";0.036985067676694
145;"Co-occurrence 2D-avg";"Difference variance";"case_4";0.125610000465315
145;"Co-occurrence 2D-avg";"Difference variance";"case_5";0.042689231001236
145;"Co-occurrence 2D-avg";"Difference variance";"case_1";0.182368881386799
145;"Co-occurrence 2D-avg";"Difference variance";"case_3";0.366797163021545
146;"Co-occurrence 2D-avg";"Difference entropy";"case_2";0.00646923282507712
146;"Co-occurrence 2D-avg";"Difference entropy";"case_4";0.00644560531321945
146;"Co-occurrence 2D-avg";"Difference entropy";"case_5";0.00411547702175805
146;"Co-occurrence 2D-avg";"Difference entropy";"case_1";0.0161967224692173
146;"Co-occurrence 2D-avg";"Difference entropy";"case_3";0.021091269304568
147;"Co-occurrence 2D-avg";"Sum average";"case_2";0.448769384089391
147;"Co-occurrence 2D-avg";"Sum average";"case_4";0.743070984631993
147;"Co-occurrence 2D-avg";"Sum average";"case_5";0.345280653982216
147;"Co-occurrence 2D-avg";"Sum average";"case_1";0.0583546385907262
147;"Co-occurrence 2D-avg";"Sum average";"case_3";0.191741400883284
148;"Co-occurrence 2D-avg";"Sum variance";"case_2";0.921118905946916
148;"Co-occurrence 2D-avg";"Sum variance";"case_4";2.0792810605043
148;"Co-occurrence 2D-avg";"Sum variance";"case_5";0.279317815036762
148;"Co-occurrence 2D-avg";"Sum variance";"case_1";0.852346160633675
148;"Co-occurrence 2D-avg";"Sum variance";"case_3";5.14065293977607
149;"Co-occurrence 2D-avg";"Sum entropy";"case_2";0.0056249403912277
149;"Co-occurrence 2D-avg";"Sum entropy";"case_4";0.0132905787125133
149;"Co-occurrence 2D-avg";"Sum entropy";"case_5";0.00652510473902472
149;"Co-occurrence 2D-avg";"Sum entropy";"case_1";0.0183278202050694
149;"Co-occurrence 2D-avg";"Sum entropy";"case_3";0.0268802816857089
150;"Co-occurrence 2D-avg";"Angular second moment";"case_2";0.000448464337311658
150;"Co-occurrence 2D-avg";"Angular second moment";"case_4";0.00291067856948043
150;"Co-occurrence 2D-avg";"Angular second moment";"case_5";0.000968510713977018
150;"Co-occurrence 2D-avg";"Angular second moment";"case_1";0.000698685035918464
150;"Co-occurrence 2D-avg";"Angular second moment";"case_3";0.000830290247259455
151;"Co-occurrence 2D-avg";"Contrast";"case_2";0.0580767693332043
151;"Co-occurrence 2D-avg";"Contrast";"case_4";0.217900445117801
151;"Co-occurrence 2D-avg";"Contrast";"case_5";0.0918660523259044
151;"Co-occurrence 2D-avg";"Contrast";"case_1";0.255490573216472
151;"Co-occurrence 2D-avg";"Contrast";"case_3";0.496751915403999
152;"Co-occurrence 2D-avg";"Dissimilarity";"case_2";0.00523216235077028
152;"Co-occurrence 2D-avg";"Dissimilarity";"case_4";0.0166306567818414
152;"Co-occurrence 2D-avg";"Dissimilarity";"case_5";0.00901310132068363
152;"Co-occurrence 2D-avg";"Dissimilarity";"case_1";0.0223706243753251
152;"Co-occurrence 2D-avg";"Dissimilarity";"case_3";0.0345165204317207
153;"Co-occurrence 2D-avg";"Inverse difference";"case_2";0.000556092629844135
153;"Co-occurrence 2D-avg";"Inverse difference";"case_4";0.0023043902867364
153;"Co-occurrence 2D-avg";"Inverse difference";"case_5";0.00226381961510431
153;"Co-occurrence 2D-avg";"Inverse difference";"case_1";0.00186842852117063
153;"Co-occurrence 2D-avg";"Inverse difference";"case_3";0.00254211165481532
154;"Co-occurrence 2D-avg";"Inverse difference normalised";"case_2";0.000132141281332593
154;"Co-occurrence 2D-avg";"Inverse difference normalised";"case_4";0.000374104871381781
154;"Co-occurrence 2D-avg";"Inverse difference normalised";"case_5";0.000232488142200893
154;"Co-occurrence 2D-avg";"Inverse difference normalised";"case_1";0.000168599702309946
154;"Co-occurrence 2D-avg";"Inverse difference normalised";"case_3";0.000291769872527231
155;"Co-occurrence 2D-avg";"Inverse difference moment";"case_2";0.000591423982069927
155;"Co-occurrence 2D-avg";"Inverse difference moment";"case_4";0.00235735602169245
155;"Co-occurrence 2D-avg";"Inverse difference moment";"case_5";0.00272792703653929
155;"Co-occurrence 2D-avg";"Inverse difference moment";"case_1";0.0021740545773323
155;"Co-occurrence 2D-avg";"Inverse difference moment";"case_3";0.00292700531790172
156;"Co-occurrence 2D-avg";"Inverse difference moment normalised";"case_2";4.34177391579693e-05
156;"Co-occurrence 2D-avg";"Inverse difference moment normalised";"case_4";0.000168588730003744
156;"Co-occurrence 2D-avg";"Inverse difference moment normalised";"case_5";6.16266515171382e-05
156;"Co-occurrence 2D-avg";"Inverse difference moment normalised";"case_1";5.88002671304877e-05
156;"Co-occurrence 2D-avg";"Inverse difference moment normalised";"case_3";8.1546232603924e-05
157;"Co-occurrence 2D-avg";"Inverse variance";"case_2";0.0015597371991388
157;"Co-occurrence 2D-avg";"Inverse variance";"case_4";0.00311772647069505
157;"Co-occurrence 2D-avg";"Inverse variance";"case_5";0.000750125460933887
157;"Co-occurrence 2D-avg";"Inverse variance";"case_1";0.000980784737117726
157;"Co-occurrence 2D-avg";"Inverse variance";"case_3";0.00129714238248968
158;"Co-occurrence 2D-avg";"Correlation";"case_2";0.00139104492328785
158;"Co-occurrence 2D-avg";"Correlation";"case_4";0.00513443910083661
158;"Co-occurrence 2D-avg";"Correlation";"case_5";0.0018658141436115
158;"Co-occurrence 2D-avg";"Correlation";"case_1";0.00146581586785035
158;"Co-occurrence 2D-avg";"Correlation";"case_3";0.00322296523209056
159;"Co-occurrence 2D-avg";"Autocorrelation";"case_2";9.67914100804432
159;"Co-occurrence 2D-avg";"Autocorrelation";"case_4";15.6723396645505
159;"Co-occurrence 2D-avg";"Autocorrelation";"case_5";6.76603297033555
159;"Co-occurrence 2D-avg";"Autocorrelation";"case_1";1.0597605192469
159;"Co-occurrence 2D-avg";"Autocorrelation";"case_3";5.74132888811765
160;"Co-occurrence 2D-avg";"Cluster tendency";"case_2";0.921118905946916
160;"Co-occurrence 2D-avg";"Cluster tendency";"case_4";2.0792810605043
160;"Co-occurrence 2D-avg";"Cluster tendency";"case_5";0.279317815036763
160;"Co-occurrence 2D-avg";"Cluster tendency";"case_1";0.852346160633674
160;"Co-occurrence 2D-avg";"Cluster tendency";"case_3";5.14065293977607
161;"Co-occurrence 2D-avg";"Cluster shade";"case_2";15.6291183500848
161;"Co-occurrence 2D-avg";"Cluster shade";"case_4";16.93760039188
161;"Co-occurrence 2D-avg";"Cluster shade";"case_5";6.12016689352438
161;"Co-occurrence 2D-avg";"Cluster shade";"case_1";10.7324547459642
161;"Co-occurrence 2D-avg";"Cluster shade";"case_3";114.954385095377
162;"Co-occurrence 2D-avg";"Cluster prominence";"case_2";1316.26125988009
162;"Co-occurrence 2D-avg";"Cluster prominence";"case_4";2142.96400969418
162;"Co-occurrence 2D-avg";"Cluster prominence";"case_5";409.728612775967
162;"Co-occurrence 2D-avg";"Cluster prominence";"case_1";440.201569912512
162;"Co-occurrence 2D-avg";"Cluster prominence";"case_3";9646.56798253557
163;"Co-occurrence 2D-avg";"Information correlation 1";"case_2";0.000372857562927209
163;"Co-occurrence 2D-avg";"Information correlation 1";"case_4";0.000778932168009042
163;"Co-occurrence 2D-avg";"Information correlation 1";"case_5";0.000232535060306859
163;"Co-occurrence 2D-avg";"Information correlation 1";"case_1";0.000206581139015682
163;"Co-occurrence 2D-avg";"Information correlation 1";"case_3";0.00104906829953947
164;"Co-occurrence 2D-avg";"Information correlation 2";"case_2";0.00073549581841848
164;"Co-occurrence 2D-avg";"Information correlation 2";"case_4";0.00116325834137269
