"order";"family";"feature";"data_set";"tolerance"
18;"Diagnostics-interpolated image";"Maximum intensity";"case_4";20.1
18;"Diagnostics-interpolated image";"Maximum intensity";"case_5";24.275
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_1";0
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_2";0
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_3";0
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_4";0
19;"Diagnostics-initial ROI";"Int. mask dimension x";"case_5";0
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_1";0
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_2";0
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_3";0
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_4";0
20;"Diagnostics-initial ROI";"Int. mask dimension y";"case_5";0
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_1";0
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_2";0
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_3";0
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_4";0
21;"Diagnostics-initial ROI";"Int. mask dimension z";"case_5";0
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_1";0
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_2";0
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_3";0
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_4";0
22;"Diagnostics-initial ROI";"Int. mask bounding box dimension x";"case_5";0
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_1";0
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_2";0
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_3";0
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_4";0
23;"Diagnostics-initial ROI";"Int. mask bounding box dimension y";"case_5";0
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_1";0
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_2";0
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_3";0
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_4";0
24;"Diagnostics-initial ROI";"Int. mask bounding box dimension z";"case_5";0
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_1";0
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_2";0
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_3";0
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_4";0
25;"Diagnostics-initial ROI";"Morph. mask bounding box dimension x";"case_5";0
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_1";0
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_2";0
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_3";0
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_4";0
26;"Diagnostics-initial ROI";"Morph. mask bounding box dimension y";"case_5";0
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_1";0
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_2";0
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_3";0
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_4";0
27;"Diagnostics-initial ROI";"Morph. mask bounding box dimension z";"case_5";0
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_1";0
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_2";0
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_3";0
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_4";0
28;"Diagnostics-initial ROI";"Int. mask voxel count";"case_5";0
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_1";0
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_2";0
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_3";0
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_4";0
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_5";0
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_1";0
